,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000001701,-127698.59639381395,84832.79615817778,0.9473684210526316,0.0526315789473684,0.0
cosmx_bcc_xdonor_spot_0000001702,-127698.07936595017,85224.44940895177,0.8823529411764706,0.1176470588235294,0.0
cosmx_bcc_xdonor_spot_0000001703,-127695.4384990771,85557.21721080935,0.8947368421052632,0.1052631578947368,0.0
cosmx_bcc_xdonor_spot_0000001704,-127663.59639381395,85944.32247396726,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001705,-127725.38586749816,86366.3751055462,0.9473684210526316,0.0,0.0526315789473684
cosmx_bcc_xdonor_spot_0000001706,-127692.77684494175,86655.38638374166,0.6428571428571429,0.3571428571428571,0.0
cosmx_bcc_xdonor_spot_0000001798,-127245.42454669255,75534.25971069814,0.6666666666666666,0.0,0.0
cosmx_bcc_xdonor_spot_0000001799,-127254.42454669255,75817.7041551426,0.5555555555555556,0.0,0.0
cosmx_bcc_xdonor_spot_0000001809,-127414.59317093133,79495.44606309295,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001811,-127347.83126616942,80374.92225356915,0.1428571428571428,0.8571428571428571,0.0
cosmx_bcc_xdonor_spot_0000001812,-127387.65983759802,80661.71272975965,0.0,0.9333333333333332,0.0
cosmx_bcc_xdonor_spot_0000001813,-127329.1265042647,81081.77939642631,0.1333333333333333,0.7333333333333333,0.0
cosmx_bcc_xdonor_spot_0000001814,-127345.13483759803,81423.84189642631,0.0,0.75,0.0625
cosmx_bcc_xdonor_spot_0000001815,-127326.88483759803,81785.27939642631,0.0,0.75,0.1875
cosmx_bcc_xdonor_spot_0000001816,-127372.79317093136,82194.04606309297,0.4,0.2666666666666666,0.2
cosmx_bcc_xdonor_spot_0000001817,-127312.98205982025,82572.50161864854,0.0555555555555555,0.8333333333333334,0.0555555555555555
cosmx_bcc_xdonor_spot_0000001818,-127341.58203974697,82949.15261750793,0.3636363636363636,0.5909090909090909,0.0454545454545454
cosmx_bcc_xdonor_spot_0000001819,-127338.8244639894,83332.20185993217,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001820,-127347.02959219452,83709.32044967577,0.8846153846153846,0.0,0.0
cosmx_bcc_xdonor_spot_0000001821,-127345.05113065607,84077.38352659885,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001822,-127330.90022156514,84457.2889811443,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001823,-127352.66504369954,84800.17830920753,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001824,-127351.88001954493,85259.91019326549,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001825,-127313.85955170868,85571.95405291462,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001826,-127327.63398779891,85954.45781231312,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001827,-127337.63398779891,86361.17209802741,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001828,-127318.49113065605,86632.42773712515,0.8947368421052632,0.1052631578947368,0.0
cosmx_bcc_xdonor_spot_0000001829,-127352.04668621154,86958.7435265988,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001920,-126973.868991137,75468.1998816383,0.6923076923076923,0.0,0.0
cosmx_bcc_xdonor_spot_0000001921,-126948.73565780367,75805.4152662537,0.6666666666666666,0.0,0.0
cosmx_bcc_xdonor_spot_0000001923,-126988.743991137,76523.3152662537,0.75,0.125,0.0
cosmx_bcc_xdonor_spot_0000001929,-126943.759837598,78828.61272975962,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001930,-126921.15983759801,79184.37939642629,0.2,0.1,0.0
cosmx_bcc_xdonor_spot_0000001932,-126935.92650426466,79938.00161864852,0.1111111111111111,0.4444444444444444,0.0
cosmx_bcc_xdonor_spot_0000001933,-126949.75983759803,80303.96689642631,0.0,1.0,0.0
cosmx_bcc_xdonor_spot_0000001934,-126960.4741233123,80678.065110712,0.0714285714285714,0.5,0.1428571428571428
cosmx_bcc_xdonor_spot_0000001935,-126942.12347396166,81107.59757824452,0.0454545454545454,0.7727272727272727,0.0
