,Cancer.cells,Endothelial,Fibroblast,Melanocyte,MoMacDC,Normal.Kerat,Pericyte,PlasmaCell
cosmx_bcc_xdonor_spot_0000065927,0.914272219879516,1.2762766375878e-07,2.798061527767542e-05,0.016814558136524115,0.05101378875917081,1.6759699836996402e-15,0.017871324981844235,1.6759699836996402e-15
cosmx_bcc_xdonor_spot_0000065928,0.6921343949156212,3.0199299811477687e-07,0.22027558294371657,0.03237464202343978,0.05260482971905717,0.0026102484050394663,1.25769645097691e-13,1.7925612326695915e-15
cosmx_bcc_xdonor_spot_0000065929,0.29555690218825786,0.05816747067826735,0.3990770953634145,0.002124605653899676,0.24249329896134297,0.002580618567502222,8.587313467821271e-09,1.6868857985739945e-15
cosmx_bcc_xdonor_spot_0000065930,4.310215673054758e-07,1.5327194749638582e-15,0.3692283292776274,0.0005417596970010525,0.1997388654585662,0.43049061454523335,1.5327194749638582e-15,1.5327194749638582e-15
cosmx_bcc_xdonor_spot_0000065931,1.3226120979795683e-15,1.3226120979795683e-15,1.3226120979795683e-15,1.3226120979795683e-15,0.020109271336884168,0.9798907286631078,1.3226120979795683e-15,1.3226120979795683e-15
cosmx_bcc_xdonor_spot_0000066099,0.4024165163648525,0.28824808344421543,0.08838503192672477,0.18287858594699008,2.7460828644718917e-15,0.03767160320392201,2.7903111890150922e-08,0.00040015121018056144
cosmx_bcc_xdonor_spot_0000066100,0.9109208870183543,0.03572877890521783,2.2875577900803305e-15,0.00824022004310742,1.103156332471034e-12,0.003004604921485669,0.03833908071738627,0.003766428393343015
cosmx_bcc_xdonor_spot_0000066101,0.9534207971364486,0.046345029423901514,1.9171046170858984e-15,0.00022428279156553528,1.9171046170858984e-15,2.2658617461544219e-07,6.459455982045314e-07,9.018116307579557e-06
cosmx_bcc_xdonor_spot_0000066102,0.9892070233838312,1.6853200357037023e-15,1.6853200357037023e-15,1.6853200357037023e-15,1.6853200357037023e-15,0.010792976616158549,1.6853200357037023e-15,1.6853200357037023e-15
cosmx_bcc_xdonor_spot_0000066103,0.9939965727072505,1.0706877202036871e-05,1.7086680183755348e-15,1.3330562797786786e-10,0.002679827181951663,0.0009358215852843892,0.0023770715150022007,1.7086680183755348e-15
cosmx_bcc_xdonor_spot_0000066104,0.9397610757253803,1.9832430772392044e-09,0.03821820219096818,0.010819848906454639,2.5951203362801744e-14,2.0142401004583354e-15,0.011200871193923795,2.0142401004583354e-15
cosmx_bcc_xdonor_spot_0000066105,0.7660073623364307,0.0168197714632377,0.11352525269785126,3.139520130915231e-08,0.031053653730892118,5.1501846658476887e-14,0.07259392837633362,1.845192791489296e-15
cosmx_bcc_xdonor_spot_0000066106,0.8622390792941498,1.6650110577860408e-15,0.08100853463769642,1.6650110577860408e-15,1.6650110577860408e-15,3.141301584203585e-06,0.05674924476656283,1.6650110577860408e-15
cosmx_bcc_xdonor_spot_0000066107,0.8771360162672746,1.67428511082912e-15,0.07119337223869641,0.0005125214018069101,1.67428511082912e-15,0.00140307852413282,0.04975501156808421,1.67428511082912e-15
cosmx_bcc_xdonor_spot_0000066108,0.6634875255805295,0.021710480705191302,0.2338413754273218,0.0003358564475886894,0.006540414756277569,0.0013672047762653874,0.07271682391157372,3.183952519955791e-07
cosmx_bcc_xdonor_spot_0000066109,0.6998250865009696,0.13621477401194215,0.08587334523790811,0.040477965380343005,6.961364830534084e-06,0.008425652593129437,0.029176214910874923,2.1532481526380723e-15
cosmx_bcc_xdonor_spot_0000066110,0.7919196843741781,0.0003593664392606803,1.7741966900376155e-10,0.031617607369957945,0.09020532820291048,2.0696953098525837e-15,0.08589801343626877,2.0696953098525837e-15
cosmx_bcc_xdonor_spot_0000066111,0.36916040423163055,0.2589011331437889,0.26601958728707714,0.059554558525895064,0.03463065402859214,2.1426565186534667e-15,0.011733154161919005,5.086210950885247e-07
cosmx_bcc_xdonor_spot_0000066112,0.17693295022322653,0.031206843448191336,0.369029677965636,1.7027593049847316e-15,0.08541014282551486,1.7027593049847316e-15,0.08829021729159924,0.24913016824582843
cosmx_bcc_xdonor_spot_0000066113,0.9876868984559244,9.183304407717336e-07,0.006006015107099753,4.1232167797489334e-08,0.006306126874255627,1.821843425234058e-15,1.0781250145617494e-13,1.821843425234058e-15
cosmx_bcc_xdonor_spot_0000066114,0.985744423945164,0.00012622111025831423,3.3524907208259795e-10,1.3615802632333943e-07,1.8804610062008084e-15,1.8804610062008084e-15,0.014129218451296471,1.8804610062008084e-15
cosmx_bcc_xdonor_spot_0000066115,0.9670857065289356,0.006905127378271504,0.0019303277144573589,0.0008667785893116353,0.0003836377487858991,0.011623976525133518,0.0008055320459371271,0.010398913469167359
